Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
quick_blasted_case22,126,21663.0,4.751586842536926,21751,21532,0.01006850259758172
quick_blasted_case24,65,7664.0,0.6788206100463867,7664,7664,0.0
quick_blasted_case25,68,8187.0,1.1758017539978027,8187,8187,0.0
quick_blasted_case31,53,4669.0,0.8965698957443238,4669,4669,0.0
quick_blasted_case32,52,4594.0,0.7826319694519043,4594,4594,0.0
quick_blasted_case33,51,4487.0,0.606801176071167,4487,4487,0.0
quick_blasted_case35,400,140132.3,9.095866084098816,140879,138085,0.019832622321282804
quick_blasted_case36,64,7007.0,0.94893958568573,7007,7007,0.0
quick_blasted_case39,245,68919.1,7.369642663002014,70060,68554,0.021495860690836425
quick_blasted_case4,103,18018.6,2.6906780004501343,18115,17964,0.008335633452939552
quick_blasted_case43,116,19177.9,5.736104202270508,19319,19060,0.013406491019203893
quick_blasted_case44,173,37861.3,7.300304508209228,38065,37612,0.011900696177590963
quick_blasted_case47,118,15309.5,6.740676498413086,15439,14956,0.0312844096120215
quick_blasted_case54,203,51159.9,7.675361561775207,51443,50850,0.011527321501467644
quick_blasted_case56,202,56132.0,5.2974231243133545,56737,55747,0.017448931032659463
quick_blasted_case57,288,73410.1,8.849825716018676,74454,72829,0.02182555671958525
quick_blasted_case59,93,14692.0,2.60460786819458,14692,14692,0.0
quick_blasted_case6,329,87834.5,9.04801185131073,88355,86917,0.016275253239771376
quick_blasted_case61,282,59843.4,9.17639319896698,60584,58893,0.027911659844183284
quick_blasted_case63,96,15967.8,2.7293686866760254,16090,15881,0.012989434431323804
quick_blasted_case68,178,49426.7,4.763195180892945,49621,49165,0.009189657604643195
quick_blasted_case8,160,33186.9,6.340028548240662,33380,32872,0.015218693828639903
quick_blasted_case9,279,67382.5,9.061359882354736,68394,66580,0.02652279439716934
quick_blasted_case_1_b14_1,238,58437.9,7.618423676490783,59078,57957,0.0189749145197874
quick_blasted_case_1_b14_2,270,66107.7,8.450013446807862,67441,65423,0.02992245073471627
quick_blasted_case_1_b14_3,304,76940.5,9.166841959953308,77832,76074,0.022587110699969163
quick_brutus,1221,1344468.5,8.88533296585083,1360823,1324480,0.02670663267743123
quick_buildroot,565,167354.2,11.188203191757202,168949,165529,0.020242795163037366
quick_busybox_1_28_0,998,496451.8,11.621249723434449,503375,489439,0.027685125403526196
quick_calm16_ceb,1173,1312364.7,8.729131770133971,1324057,1304492,0.014776554181579795
quick_calm32_ceb,1173,1243141.7,8.462583184242249,1257132,1233375,0.018897776844436383
quick_ceb_v850,1189,1453710.3,7.7763008117675785,1473877,1436703,0.025221914718799466
quick_cerf,1276,1590166.4,8.458024978637695,1612658,1570578,0.026093567265967118
quick_cerfpda,1291,1562420.7,8.589367699623107,1575193,1539829,0.022450582246112065
quick_cma230,1212,1417235.1,8.165350985527038,1435322,1399182,0.025179019063318195
quick_cma28x,1204,1520770.7,7.887897086143494,1533564,1509024,0.016001940577634842
quick_cme555,1266,1550623.9,8.268006014823914,1581321,1520361,0.03855004771327264
quick_cq7708,1238,1447133.7,8.350796675682068,1465763,1428920,0.02513571430033368
quick_cq7750,1267,1496730.5,8.54258315563202,1514975,1461710,0.03515899602303668
quick_csb281,1233,1536007.4,8.23292019367218,1563751,1518627,0.028856256526774402
quick_dreamcast,1252,1512259.3,7.891587352752685,1522113,1489739,0.021269117338857235
quick_e7t,1266,1607693.9,7.919076609611511,1629437,1583310,0.028308550744827816
quick_ea2468,1395,1795490.3,8.46857476234436,1822617,1760018,0.03434566889258687
quick_eb40,1240,1559525.9,7.937861371040344,1574276,1539223,0.022266108357111458
quick_eb40a,1241,1523474.4,8.152968072891236,1550919,1507988,0.027681007196378404
quick_eb42,1234,1471734.9,8.010800647735596,1485518,1459739,0.01735354266996428
quick_eb55,1270,1484770.6,9.017298460006714,1508144,1468278,0.026433815338588358
quick_ebsa285,1245,1565835.6,7.917444443702697,1582279,1546243,0.022774744529883793
quick_ec555,1267,1625128.3,7.952100396156311,1641072,1602482,0.02351511694794622
quick_ecos-icse11,1244,818476.8,11.579118061065675,831873,795894,0.043250592338013136
quick_edb7xxx,1246,1402791.9,8.786124229431152,1430458,1378244,0.036501595992332526
quick_edosk2674,1194,1308069.6,8.402527499198914,1337802,1284226,0.04004777986577984
quick_embtoolkit,2128,2261210.3,12.019398379325867,2324604,2164586,0.06883667067595169
quick_excalibur_arm9,1233,1397973.6,8.809042191505432,1418426,1376389,0.029636371583713215
quick_fads,1187,1417083.3,7.908305835723877,1432030,1408179,0.016655377331480484
quick_flexanet,1265,1531324.0,8.150454044342041,1552093,1511277,0.026297393261872838
quick_freebsd-icse11,1396,966769.7,12.155323719978332,992021,954628,0.037693758499064034
quick_frv400,1238,1442221.2,8.715539741516114,1460574,1427882,0.02238298093763137
quick_gps4020,1213,1327498.9,9.030695366859437,1345034,1313484,0.02345665611426923
quick_grg,1241,1507344.8,8.532068514823914,1520850,1495995,0.016342834599072886
quick_h8300h_sim,1182,1367135.0,8.143814539909362,1377573,1345723,0.023120371842363346
quick_h8max,1202,1347921.1,8.682799410820007,1357264,1337698,0.014415765834797062
quick_h8s_sim,1183,1269112.1,8.643379306793213,1290986,1245816,0.03498876052877413
quick_hs7729pci,1298,1543230.8,8.943529796600341,1565326,1528247,0.02368771744671717
quick_innovator,1256,1614736.2,8.242927837371827,1636902,1599692,0.022731965627752915
quick_integrator_arm7,1259,1477255.6,8.531919717788696,1489098,1458508,0.02054263722065304
quick_integrator_arm9,1267,1540683.1,8.196916389465333,1556282,1519866,0.023399358213999775
quick_ipaq,1258,1483392.6,8.345991945266723,1508701,1470836,0.025097749653509874
quick_iq80310,1258,1493251.6,8.321546387672424,1512095,1477266,0.02303360569276401
quick_iq80321,1256,1476541.3,8.180325078964234,1499277,1454233,0.03004381445189915
quick_ixdp425,1247,1424315.2,8.29097101688385,1447323,1410293,0.025585166545408315
quick_jmr3904,1199,1344832.7,9.129394006729125,1358445,1328754,0.02185660810706359
quick_jtst,1241,1475450.3,8.324866437911988,1483828,1456887,0.01815641705103287
quick_linux,1232,1456945.3,8.173495054244995,1481732,1435653,0.0310980663169858
quick_lpcmt,1249,1467780.9,8.639282131195069,1487007,1431724,0.03717736365733315
quick_m5272c3,1323,1732767.0,8.217706990242004,1750685,1717694,0.018844623675875444
quick_mac7100evb,1234,1434889.3,8.627410626411438,1454928,1404402,0.03472749166969087
quick_mace1,1234,1373794.6,9.581433129310607,1383436,1362469,0.015155742658135251
quick_malta_mips32_4kc,1232,1487145.2,7.92000138759613,1509311,1472653,0.024287903553343215
quick_malta_mips64_5kc,1232,1447009.9,8.172763991355897,1458778,1431028,0.019022771113904925
quick_mb93091,1250,1458423.9,9.133687686920165,1483923,1436487,0.03196661821401784
quick_mb93093,1230,1471869.4,8.308071494102478,1490583,1451312,0.026346067277031874
quick_mbx,1295,1688581.3,8.20141875743866,1697591,1674310,0.013714139624915541
quick_mcb2100,1249,1587977.6,7.91471836566925,1603735,1568523,0.021956245888504023
quick_moab,1277,1534023.5,8.601882576942444,1556661,1519852,0.02364612462186693
quick_mpc50,1213,1469358.4,8.300872492790223,1484519,1445663,0.02617413451764511
quick_nano,1265,1545609.7,8.182224225997924,1563291,1528434,0.022297192269385546
quick_npwr,1258,1587753.2,7.986910271644592,1607293,1567642,0.02466942866048692
quick_ocelot,1266,1456562.1,9.908992576599122,1481832,1441313,0.027343855443801995
quick_olpce2294,1274,1468368.2,8.804472374916077,1485606,1451351,0.023057930568401042
quick_olpch2294,1261,1628466.5,8.188492393493652,1641890,1604024,0.023062446327098647
quick_olpcl2294,1273,1685024.4,7.809056639671326,1702564,1672569,0.01761754624202086
quick_or-60-5-2-UC-30,120,11491.2,9.082013583183288,11685,11279,0.0347454000855798
quick_p2106,1249,1546444.9,7.719656324386596,1566938,1507958,0.037640289532834104
quick_pati,1248,1583501.2,7.773415112495423,1606616,1567769,0.02417939320908045
quick_pc_i82544,1259,1484858.4,8.60034773349762,1498937,1471388,0.018379024602101356
quick_pc_i82559,1259,1490189.4,8.831028389930726,1509313,1461370,0.03176478305030169
quick_pc_rltk8139,1257,1480017.8,8.462253165245055,1499883,1462970,0.024610586292397475
quick_pc_usb_d12,1281,1573081.1,8.40277590751648,1597546,1559024,0.02411323367214465
quick_pc_vmWare,1255,1421574.1,8.607234668731689,1436452,1386680,0.03464926081762565
quick_phycore,1274,1543399.6,9.068210291862489,1559245,1524440,0.022321700566620382
